500 20
  1	05:00:00	21:00:00
  2	05:00:00	21:00:00
  3	05:00:00	21:00:00
  4	05:00:00	21:00:00
  5	05:00:00	21:00:00
  6	05:00:00	21:00:00
  7	05:00:00	21:00:00
  8	05:00:00	21:00:00
  9	05:00:00	21:00:00
 10	05:00:00	21:00:00
 11	05:00:00	21:00:00
 12	05:00:00	21:00:00
 13	05:00:00	21:00:00
 14	05:00:00	21:00:00
 15	05:00:00	21:00:00
 16	05:00:00	21:00:00
 17	05:00:00	21:00:00
 18	05:00:00	21:00:00
 19	05:00:00	21:00:00
 20	05:00:00	21:00:00
  1	05:00:00	05:10:00	 1  2  3  7  8 10 11 12 15 16 19 
  2	05:18:00	05:22:00	 1  3  4  5  7  8  9 11 15 17 19 20 
  3	05:41:00	05:49:00	 2  3  4  5  7 10 11 12 13 16 18 19 
  4	05:54:00	06:04:00	 1  5  7  8 11 12 15 17 18 20 
  5	06:19:00	06:29:00	 2  4  5  6 12 14 18 19 
  6	06:25:00	06:27:00	 1  3  5  6  8  9 10 12 13 14 15 16 17 18 
  7	06:44:00	06:50:00	 1  3  7 13 14 15 16 18 20 
  8	06:50:00	07:00:00	 2  3  4  7 10 12 13 14 15 17 18 
  9	06:51:00	06:59:00	 1  2  3  7 11 13 14 15 16 19 20 
 10	06:54:00	06:56:00	 2  3  5  7  8  9 12 14 15 16 17 18 20 
 11	06:53:00	06:57:00	 1  3  5  6  8  9 10 12 13 15 17 18 20 
 12	06:57:00	06:59:00	 1  2  3  4  7  8  9 10 11 16 20 
 13	07:20:00	07:28:00	 3  4  6  7  8 17 18 
 14	07:48:00	07:50:00	 2  3  4  6  9 11 12 13 16 18 19 20 
 15	08:09:00	08:13:00	 2  5  7  9 11 12 15 16 19 20 
 16	08:11:00	08:15:00	 1  3  5  6  7  9 12 13 15 16 18 19 20 
 17	08:21:00	08:27:00	 1  2  6  8 10 11 12 15 19 20 
 18	08:23:00	08:31:00	 5  6  7 16 18 20 
 19	08:29:00	08:33:00	 3  4  6  8 11 13 15 18 
 20	08:29:00	08:35:00	 1  3  6  8  9 10 12 13 14 15 17 18 19 20 
 21	08:31:00	08:41:00	 2  4  5  7  8  9 12 16 17 18 19 
 22	08:38:00	08:42:00	 4  5  6  9 10 16 17 19 20 
 23	08:36:00	08:46:00	 1  2  5  8 11 12 15 
 24	08:40:00	08:48:00	 1  2  8  9 10 11 12 14 16 17 19 
 25	08:44:00	08:46:00	 2  3  6 11 12 14 15 17 19 
 26	08:46:00	08:50:00	 3  4  5  6 14 15 18 19 20 
 27	09:12:00	09:14:00	 3  7 11 12 13 16 
 28	09:21:00	09:27:00	 4  5  7  8 11 12 15 18 
 29	09:35:00	09:43:00	 2  3  4  6  7  9 10 14 15 17 18 19 20 
 30	09:39:00	09:49:00	 2  4  5  6  8  9 10 11 12 17 20 
 31	10:02:00	10:10:00	 1  2  3 11 12 14 15 16 20 
 32	10:02:00	10:10:00	 1  3  4  5  6  7  8 12 13 14 15 16 17 19 
 33	10:06:00	10:08:00	 1  2  3  4  6  8  9 15 16 18 20 
 34	10:04:00	10:12:00	 3  4  6  7 11 12 14 15 16 
 35	10:06:00	10:10:00	 1  4  6  8  9 13 14 15 16 17 
 36	10:09:00	10:13:00	 2  5  9 11 12 15 16 17 19 20 
 37	10:17:00	10:27:00	 1  5  8  9 11 12 14 15 16 17 
 38	10:19:00	10:29:00	 1  3  5  6  7  8  9 10 11 12 14 15 16 17 18 
 39	10:27:00	10:37:00	 1  3  4  6  9 10 13 14 15 17 19 20 
 40	10:32:00	10:40:00	 1  2  3  4  6 11 12 13 15 16 17 18 19 20 
 41	10:38:00	10:40:00	 3  4  5  6  7 12 14 15 17 
 42	10:47:00	10:49:00	 3  4 10 11 19 
 43	11:10:00	11:16:00	 2  4  5  7  8 10 11 12 13 14 15 18 
 44	11:18:00	11:20:00	 1  2  5  6  7 10 11 13 14 15 19 20 
 45	11:38:00	11:48:00	 1  2  3  4  6  7  8 10 11 13 16 18 19 20 
 46	11:43:00	11:49:00	 2  5  6  7 10 12 13 14 19 
 47	11:57:00	12:03:00	 2  4  6  7 10 12 16 17 
 48	12:12:00	12:18:00	 1  2  3  5  6  8  9 11 12 13 15 17 19 
 49	12:14:00	12:16:00	 1  2  3  4  5  7  9 12 14 16 20 
 50	12:15:00	12:21:00	 3  4  6  7  8 12 13 14 
 51	12:18:00	12:24:00	 5  7 10 11 13 15 18 20 
 52	12:20:00	12:30:00	 3 11 13 16 17 19 
 53	12:26:00	12:32:00	 1  5 11 14 16 
 54	12:49:00	12:57:00	 1  4  5  6  7  9 10 13 16 18 19 20 
 55	12:52:00	12:58:00	 5  7  9 10 11 15 17 19 20 
 56	12:54:00	12:58:00	 1  4  5  8  9 11 12 14 19 
 57	12:55:00	12:59:00	 1  3  5  6  7  9 10 14 16 18 20 
 58	13:19:00	13:23:00	 1  3  4  8  9 11 13 14 15 18 20 
 59	13:21:00	13:29:00	 3  5 11 12 17 19 20 
 60	13:37:00	13:45:00	 1  6  8  9 10 11 14 15 17 19 20 
 61	13:37:00	13:45:00	 1  2  3  4  5  6  7  8 10 11 14 15 16 20 
 62	13:43:00	13:45:00	 5  6  7  8 10 12 14 15 16 
 63	13:43:00	13:53:00	 1  4  5  8  9 11 12 16 17 18 19 
 64	13:52:00	13:54:00	 3  4 11 12 13 19 
 65	13:51:00	13:57:00	 1  2  6  7  8  9 10 15 17 18 19 
 66	13:52:00	13:56:00	 3  4  6  7  9 12 14 16 17 19 20 
 67	13:53:00	14:01:00	 2  4  5  7  9 10 11 13 14 15 16 18 20 
 68	13:56:00	14:02:00	 1  3  4  6  7  9 12 13 14 18 19 
 69	13:56:00	14:02:00	 3  5  6  7  8  9 15 17 18 19 
 70	13:59:00	14:07:00	 3 10 14 15 16 18 
 71	14:01:00	14:11:00	 1  3  5  6  8  9 11 12 17 20 
 72	14:24:00	14:32:00	 1  2  5 10 12 14 15 16 17 19 20 
 73	14:25:00	14:31:00	 1  2  3  4  9 10 11 14 17 19 20 
 74	14:25:00	14:35:00	 2  4  6  8 10 12 13 15 19 
 75	14:27:00	14:33:00	 1  2  6  9 10 11 13 18 
 76	14:26:00	14:34:00	 4  7  8  9 10 11 12 13 15 17 19 20 
 77	14:42:00	14:50:00	 1  3  4  5  7  8 10 11 12 13 16 17 18 20 
 78	14:45:00	14:53:00	 1  4  6  8 10 11 14 15 16 17 
 79	15:06:00	15:12:00	 3  4  6  8  9 12 13 14 15 
 80	15:33:00	15:35:00	 1  3  5  6  7  8  9 11 12 13 14 15 18 20 
 81	15:32:00	15:38:00	 2  3  9 11 13 14 15 18 19 
 82	15:31:00	15:41:00	 2  6  7  9 11 16 17 20 
 83	15:50:00	16:00:00	 2  3  5  7  9 10 12 15 18 20 
 84	15:56:00	16:04:00	 4 10 12 13 14 15 20 
 85	16:00:00	16:02:00	 3  4  5  6  7  9 
 86	16:11:00	16:13:00	 1  2  5  6  7 11 12 13 14 15 17 18 20 
 87	16:10:00	16:18:00	 2  3  9 10 13 15 16 20 
 88	16:34:00	16:36:00	 4  6  8 10 11 12 13 14 15 16 17 19 
 89	16:34:00	16:36:00	 3  4  6  9 10 12 13 15 18 20 
 90	16:34:00	16:36:00	 1  3  6  7  8  9 10 11 13 15 16 17 
 91	16:38:00	16:46:00	 2  5  6  7  8 11 13 18 20 
 92	16:48:00	16:58:00	 1  2  3  4  5  6  7  8 10 11 12 19 20 
 93	16:52:00	16:56:00	 5  6  7  8  9 13 14 15 17 20 
 94	16:55:00	16:59:00	 1  2  3  7 10 14 15 16 18 
 95	16:59:00	17:03:00	 1  2  3  4  7  8  9 11 12 13 14 16 17 18 19 
 96	17:10:00	17:18:00	 1  2  4  5  7  9 11 12 14 16 17 18 
 97	17:14:00	17:16:00	 2  6  7  8 11 12 14 18 20 
 98	17:16:00	17:18:00	 2  3  4  9 10 14 15 19 
 99	17:15:00	17:21:00	 2  6  8 10 11 12 13 14 15 16 19 
100	17:16:00	17:24:00	 2  5  8 10 13 14 16 17 
101	17:37:00	17:45:00	 1  5  6  7  8 10 11 12 13 14 15 18 
102	17:40:00	17:44:00	 2  3  8  9 10 12 14 15 16 19 20 
103	17:38:00	17:48:00	 2  3  5  7 11 13 14 15 
104	17:40:00	17:50:00	 1  3  5  6  7  9 11 13 14 15 16 17 
105	17:54:00	18:00:00	 1  2  4  5 11 12 13 15 16 18 19 20 
106	17:57:00	18:01:00	 5  6  7  8 11 13 14 16 17 
107	17:57:00	18:01:00	 1  3  5  6  8  9 10 11 12 16 17 20 
108	18:07:00	18:17:00	 3  4  7  8 11 13 14 15 16 18 20 
109	18:35:00	18:45:00	 1  2  3  4  6  8  9 10 12 13 14 17 18 
110	18:40:00	18:42:00	 1  6 10 12 14 15 16 18 19 20 
111	18:42:00	18:48:00	 2  5  8  9 11 12 16 18 19 
112	18:58:00	19:06:00	 3  4  5  6  8 15 19 20 
113	18:58:00	19:08:00	 2  3  6  8  9 13 16 19 
114	19:03:00	19:05:00	 2  3  6  7 11 13 17 18 20 
115	19:05:00	19:09:00	 1  2  3  5  7  8 10 13 19 
116	19:12:00	19:22:00	 1  4  9 12 17 19 
117	19:17:00	19:25:00	 2  4  5  9 14 15 18 19 20 
118	19:34:00	19:40:00	 6  7  8  9 10 13 18 19 
119	19:37:00	19:39:00	 2  6  7  8  9 10 12 14 16 18 19 
120	19:40:00	19:44:00	 1  2  5 10 13 14 18 
121	19:42:00	19:48:00	 3  4  8  9 11 12 14 15 19 20 
122	20:07:00	20:09:00	 8 12 19 
123	20:08:00	20:14:00	 2  3  6  8 11 14 15 16 17 18 
124	20:21:00	20:29:00	 2  3  5  9 10 13 15 16 19 
125	20:30:00	20:36:00	 2  3  6  7 10 12 13 15 18 20 
126	20:55:00	20:57:00	 1  2  4  6  8  9 10 11 12 15 17 19 
127	20:53:00	20:59:00	 3  4  6  7  8 10 11 12 13 14 15 19 20 
128	20:55:00	21:01:00	 2  6  7  8  9 10 12 13 14 16 18 20 
129	21:18:00	21:22:00	 1  2  3  6  7 10 14 15 17 19 
130	21:39:00	21:47:00	 1  3  5  7  8  9 11 12 13 
131	21:43:00	21:49:00	 1  3  4  5  6  7  8 10 15 16 17 19 20 
132	21:49:00	21:57:00	 1  2  5 12 13 14 16 19 
133	21:52:00	22:00:00	 3  4  8 10 11 13 14 16 17 19 20 
134	22:05:00	22:15:00	 3  4  7 11 14 17 18 
135	22:19:00	22:23:00	 1  2  3  4  5  6  7  9 10 11 12 13 16 18 
136	22:29:00	22:31:00	 1  2  6  7 11 13 17 18 
137	22:28:00	22:38:00	 1  3  8 14 17 18 20 
138	22:33:00	22:37:00	 1  2  3  6  8  9 11 12 14 16 17 19 
139	22:37:00	22:41:00	 1  4  5  9 10 12 14 15 16 18 
140	22:43:00	22:51:00	 1  4  5  6  9 11 14 16 17 19 20 
141	22:46:00	22:50:00	 3  5  6 10 11 17 19 20 
142	22:48:00	22:54:00	 1  5  7  8 10 12 14 15 16 
143	22:54:00	22:56:00	 2  7  8  9 10 11 14 15 16 20 
144	22:51:00	22:59:00	 1  2  3  4  5  6  7  8 11 14 15 17 19 20 
145	22:54:00	23:04:00	 1  2  4  7 11 12 14 15 16 17 18 19 20 
146	22:55:00	23:03:00	 2  4  9 10 12 13 14 17 19 
147	22:59:00	23:01:00	 2  3  4  6  7  9 10 13 15 20 
148	22:58:00	23:08:00	 3  4  5 10 11 12 17 18 19 
149	23:20:00	23:28:00	 1  2  3  5  6  7  8  9 10 11 13 14 15 16 
150	23:39:00	23:49:00	 4  5  6  8  9 10 11 14 18 20 
151	23:42:00	23:48:00	 4  5  8 12 13 14 15 18 20 
152	24:04:00	24:10:00	 1  6  9 11 14 16 17 20 
153	24:25:00	24:29:00	 1  2  3  8 11 13 14 16 17 19 
154	24:39:00	24:49:00	 1  2  4  5  6  7  9 11 12 14 15 17 
155	24:42:00	24:50:00	 1  3  4  8 11 12 13 17 19 20 
156	24:43:00	24:51:00	 2  5  8 10 12 13 19 20 
157	24:46:00	24:50:00	 1  2  5  8  9 11 12 13 16 17 
158	24:49:00	24:55:00	 1  3  8  9 10 12 13 15 20 
159	25:03:00	25:13:00	 1  2  4  5  6  7  9 11 12 14 15 18 19 20 
160	25:25:00	25:29:00	 1  6  8 13 14 16 17 18 20 
161	25:26:00	25:34:00	 1  3  8  9 12 14 15 16 18 19 
162	25:46:00	25:52:00	 1  4  8 10 13 17 19 20 
163	26:00:00	26:06:00	 3  4  5  7 10 11 13 17 20 
164	26:02:00	26:06:00	 1  3  4  6  8  9 11 13 14 15 17 18 19 20 
165	26:04:00	26:06:00	 2  3  4  7  8  9 16 17 18 
166	26:07:00	26:09:00	 6  7  8  9 11 14 20 
167	26:06:00	26:12:00	 1  6  7  8  9 12 14 15 16 18 20 
168	26:07:00	26:13:00	 3  5  6  7 10 11 13 17 20 
169	26:09:00	26:15:00	 1  3  5  6  7  9 10 11 15 16 20 
170	26:23:00	26:29:00	 1  2  5  6  9 13 16 17 18 19 
171	26:48:00	26:52:00	 2  3  4  5  9 11 14 16 17 18 20 
172	26:51:00	26:59:00	 2  4  5  6  7  8 12 16 17 18 19 20 
173	26:57:00	27:01:00	 2  4  6  7  9 11 13 17 
174	26:57:00	27:05:00	 1  2  7  9 10 11 12 15 16 20 
175	27:10:00	27:16:00	 2  4  5  6  8 11 16 18 
176	27:17:00	27:23:00	 4  6  7 10 15 16 19 
177	27:33:00	27:41:00	 1  2  3  4  6  9 10 11 12 16 19 
178	27:35:00	27:45:00	 3  5  6  7 12 14 16 17 18 
179	27:48:00	27:56:00	 1  3  4  6  7 12 13 14 16 17 19 
180	28:16:00	28:18:00	 2  3  4  6  8 10 11 13 15 16 18 20 
181	28:21:00	28:23:00	 2  6  9 10 12 13 15 16 17 19 
182	28:20:00	28:30:00	 4  5  7  8  9 10 12 13 14 15 18 
183	28:22:00	28:28:00	 1  2  3  6  7  8  9 10 11 15 16 17 19 
184	28:23:00	28:33:00	 2  5  9 10 11 13 15 16 17 20 
185	28:27:00	28:33:00	 1  2  3  4  5  6  8  9 10 11 12 13 15 16 17 18 19 20 
186	28:29:00	28:35:00	 1  2  8 11 12 13 15 20 
187	28:29:00	28:37:00	 1  4  6  7 12 18 19 
188	28:31:00	28:35:00	 2  4  8 11 12 13 14 16 17 19 
189	28:33:00	28:43:00	 3  6 10 12 13 16 17 
190	28:43:00	28:47:00	 1  3  5  8 10 11 12 15 16 17 18 
191	28:42:00	28:50:00	 1  4  5  6  9 11 12 13 14 15 16 17 
192	28:51:00	28:53:00	 1  2  5  9 11 14 16 17 18 20 
193	28:48:00	28:58:00	 5  6  8 11 13 17 18 19 20 
194	29:00:00	29:06:00	 2  4  7  9 13 14 16 17 18 
195	28:59:00	29:09:00	 1  5  8  9 10 11 12 13 15 19 20 
196	29:10:00	29:14:00	 2  5  6  8  9 11 15 17 19 
197	29:31:00	29:41:00	 1  3  5  8  9 11 13 15 18 20 
198	29:39:00	29:41:00	 4  5  6  7  9 16 17 18 19 
199	29:42:00	29:44:00	 2  3  4  5  7 10 11 13 18 19 
200	29:40:00	29:48:00	 2  3  9 10 11 12 13 15 16 17 19 
201	29:55:00	30:03:00	 1  5  6  7  8 11 14 16 18 20 
