229 24
1	05:30:00	20:30:00
2	05:30:00	20:30:00
3	05:30:00	20:30:00
4	05:30:00	20:30:00
5	05:30:00	20:30:00
6	05:30:00	20:30:00
7	05:30:00	20:30:00
8	05:30:00	20:30:00
9	05:30:00	20:30:00
10	05:30:00	20:30:00
11	05:30:00	20:30:00
12	05:30:00	20:30:00
13	05:30:00	20:30:00
14	05:30:00	20:30:00
15	05:30:00	20:30:00
16	05:30:00	20:30:00
17	05:30:00	20:30:00
18	05:30:00	20:30:00
19	05:30:00	20:30:00
20	05:30:00	20:30:00
21	05:30:00	20:30:00
22	05:30:00	20:30:00
23	05:30:00	20:30:00
24	05:30:00	20:30:00
33	06:15:00	06:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
39	18:20:00	18:40:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
44	17:05:00	17:25:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
40	13:21:00	13:33:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
49	05:35:00	05:55:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
42	17:55:00	18:15:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
35	16:15:00	16:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
34	13:01:00	13:15:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
41	13:55:00	14:15:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
50	06:20:00	06:40:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
45	17:25:00	17:40:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
53	07:50:00	08:05:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
52	07:20:00	07:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
43	19:35:00	19:55:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
46	16:35:00	16:55:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
76	08:15:00	08:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
68	16:15:00	16:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
55	10:15:00	10:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
61	14:15:00	14:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
74	19:15:00	19:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
82	15:15:00	15:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
59	13:11:00	13:25:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
103	14:05:00	14:25:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
70	17:15:00	17:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
93	06:00:00	06:20:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
69	16:45:00	17:05:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
100	06:45:00	07:05:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
102	13:11:00	13:25:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
85	18:15:00	18:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
96	13:10:00	13:24:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
87	11:15:00	11:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
105	17:50:00	18:10:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
91	07:05:00	07:20:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
1405	18:45:00	19:05:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
155	13:38:00	13:50:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
94	06:45:00	07:05:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
58	12:51:00	13:05:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
158	14:55:00	15:15:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
108	13:10:00	13:24:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
1406	20:05:00	20:25:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
151	09:05:00	09:25:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
161	16:55:00	17:15:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
149	07:05:00	07:25:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
1408	12:00:00	12:20:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
164	19:05:00	19:25:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
57	12:20:00	12:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
148	06:17:00	06:37:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
163	18:15:00	18:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
152	11:15:00	11:35:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
1816	13:11:00	13:25:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
154	12:51:00	13:05:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
200	17:35:00	17:55:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
171	17:00:00	17:15:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
160	16:25:00	16:45:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
60	13:38:00	13:50:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
166	08:35:00	08:55:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
104	16:50:00	17:10:00	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 
