229 16
1	05:30:00	20:30:00
2	05:30:00	20:30:00
3	05:30:00	20:30:00
4	05:30:00	20:30:00
5	05:30:00	20:30:00
6	05:30:00	20:30:00
7	05:30:00	20:30:00
8	05:30:00	20:30:00
9	05:30:00	20:30:00
10	05:30:00	20:30:00
11	05:30:00	20:30:00
12	05:30:00	20:30:00
13	05:30:00	20:30:00
14	05:30:00	20:30:00
15	05:30:00	20:30:00
16	05:30:00	20:30:00
33	06:15:00	06:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
39	18:20:00	18:40:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
44	17:05:00	17:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
40	13:21:00	13:33:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
49	05:35:00	05:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
42	17:55:00	18:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
35	16:15:00	16:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
34	13:01:00	13:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
41	13:55:00	14:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
50	06:20:00	06:40:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
45	17:25:00	17:40:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
53	07:50:00	08:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
52	07:20:00	07:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
43	19:35:00	19:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
46	16:35:00	16:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
76	08:15:00	08:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
68	16:15:00	16:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
55	10:15:00	10:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
61	14:15:00	14:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
74	19:15:00	19:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
82	15:15:00	15:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
59	13:11:00	13:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
103	14:05:00	14:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
70	17:15:00	17:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
93	06:00:00	06:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
69	16:45:00	17:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
100	06:45:00	07:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
102	13:11:00	13:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
85	18:15:00	18:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
96	13:10:00	13:24:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
87	11:15:00	11:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
105	17:50:00	18:10:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
91	07:05:00	07:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
1405	18:45:00	19:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
155	13:38:00	13:50:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
94	06:45:00	07:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
58	12:51:00	13:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
158	14:55:00	15:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
108	13:10:00	13:24:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
1406	20:05:00	20:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
151	09:05:00	09:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
161	16:55:00	17:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
149	07:05:00	07:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
1408	12:00:00	12:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
164	19:05:00	19:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
57	12:20:00	12:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
148	06:17:00	06:37:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
163	18:15:00	18:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
152	11:15:00	11:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
1816	13:11:00	13:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
154	12:51:00	13:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
200	17:35:00	17:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
171	17:00:00	17:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
160	16:25:00	16:45:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
60	13:38:00	13:50:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
166	08:35:00	08:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
104	16:50:00	17:10:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
175	07:00:00	07:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
178	13:43:00	13:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
174	13:50:00	14:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
550	07:35:00	07:50:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
177	11:45:00	12:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
107	11:59:00	12:19:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
150	08:05:00	08:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
233	07:10:00	07:30:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
181	16:00:00	16:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
553	07:40:00	08:00:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
236	06:00:00	06:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
153	12:05:00	12:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
156	14:15:00	14:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
180	18:55:00	19:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
552	07:35:00	07:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
253	11:00:00	11:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
1334	13:26:00	13:38:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
245	17:15:00	17:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
235	07:30:00	07:50:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
244	17:55:00	18:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
179	17:55:00	18:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
159	15:55:00	16:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
239	13:43:00	13:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
248	16:55:00	17:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
256	13:01:00	13:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
259	08:40:00	09:00:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
238	12:30:00	12:50:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
265	18:20:00	18:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16  
