229 24
1	05:30:00	20:30:00
2	05:30:00	20:30:00
3	05:30:00	20:30:00
4	05:30:00	20:30:00
5	05:30:00	20:30:00
6	05:30:00	20:30:00
7	05:30:00	20:30:00
8	05:30:00	20:30:00
9	05:30:00	20:30:00
10	05:30:00	20:30:00
11	05:30:00	20:30:00
12	05:30:00	20:30:00
13	05:30:00	20:30:00
14	05:30:00	20:30:00
15	05:30:00	20:30:00
16	05:30:00	20:30:00
17	05:30:00	20:30:00
18	05:30:00	20:30:00
33	06:15:00	06:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
39	18:20:00	18:40:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
44	17:05:00	17:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
40	13:21:00	13:33:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
49	05:35:00	05:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
42	17:55:00	18:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
35	16:15:00	16:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
34	13:01:00	13:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
41	13:55:00	14:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
50	06:20:00	06:40:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
45	17:25:00	17:40:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
53	07:50:00	08:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
52	07:20:00	07:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
43	19:35:00	19:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
46	16:35:00	16:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
76	08:15:00	08:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
68	16:15:00	16:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
55	10:15:00	10:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
61	14:15:00	14:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
74	19:15:00	19:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
82	15:15:00	15:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
59	13:11:00	13:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
103	14:05:00	14:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
70	17:15:00	17:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
93	06:00:00	06:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
69	16:45:00	17:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
100	06:45:00	07:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
102	13:11:00	13:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
85	18:15:00	18:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
96	13:10:00	13:24:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
87	11:15:00	11:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
105	17:50:00	18:10:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
91	07:05:00	07:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
1405	18:45:00	19:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
155	13:38:00	13:50:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
94	06:45:00	07:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
58	12:51:00	13:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
158	14:55:00	15:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
108	13:10:00	13:24:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
1406	20:05:00	20:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
151	09:05:00	09:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
161	16:55:00	17:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
149	07:05:00	07:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
1408	12:00:00	12:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
164	19:05:00	19:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
57	12:20:00	12:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
148	06:17:00	06:37:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
163	18:15:00	18:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
152	11:15:00	11:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
1816	13:11:00	13:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
154	12:51:00	13:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
200	17:35:00	17:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
171	17:00:00	17:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
160	16:25:00	16:45:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
60	13:38:00	13:50:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
166	08:35:00	08:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
104	16:50:00	17:10:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
175	07:00:00	07:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
178	13:43:00	13:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
174	13:50:00	14:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
550	07:35:00	07:50:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18  
