100 10
  1	05:00:00	21:00:00
  2	05:00:00	21:00:00
  3	05:00:00	21:00:00
  4	05:00:00	21:00:00
  5	05:00:00	21:00:00
  6	05:00:00	21:00:00
  7	05:00:00	21:00:00
  8	05:00:00	21:00:00
  9	05:00:00	21:00:00
 10	05:00:00	21:00:00
  1	05:00:00	05:10:00	 1  2  3  7  8 
  2	05:06:00	05:08:00	 1  4  5  8 10 
  3	05:23:00	05:31:00	 2  3  4  6  7 
  4	05:43:00	05:51:00	 3  5  7  8  9 
  5	05:45:00	05:53:00	 2  3  4  5  7 
  6	05:47:00	05:55:00	 1  2  3  6  8 
  7	06:06:00	06:12:00	 1  3  7  9 10 
  8	06:08:00	06:14:00	 1  4  6  7  9 
  9	06:31:00	06:41:00	 2  4  5  6 
 10	06:36:00	06:38:00	 1  5  6  9 10 
 11	06:49:00	06:53:00	 1  2  4  5  6 
 12	06:52:00	06:58:00	 1  2  3  4  5 
 13	06:55:00	06:57:00	 1  2  4  6 10 
 14	06:55:00	07:03:00	 3  4  5  6  8 
 15	06:54:00	07:04:00	 1  2  5  6  7 
 16	06:57:00	07:03:00	 3  5  6  7  8 
 17	06:59:00	07:05:00	 4  5  6  7  8 
 18	07:01:00	07:05:00	 1  5  7  8  9 
 19	07:08:00	07:12:00	 1  6  7  9 
 20	07:25:00	07:31:00	 2  4  5  6  7 
 21	07:48:00	07:54:00	 2  3  5  7  8 
 22	07:50:00	07:52:00	 1  3  4  6  8 
 23	07:53:00	07:57:00	 1  3  4  5  6 
 24	07:53:00	08:03:00	 1  2  3  4  9 
 25	07:56:00	08:06:00	 1  2  5  8  9 
 26	07:57:00	08:07:00	 1 10 
 27	08:15:00	08:19:00	 2  3  5  6  7 
 28	08:18:00	08:24:00	 2  4  5  6  9 
 29	08:18:00	08:28:00	 1  2  3  4  7 
 30	08:24:00	08:26:00	 2  4  6  7 10 
 31	08:36:00	08:42:00	 1  3  5  7  9 
 32	08:41:00	08:47:00	 3  4  6  7  9 
 33	09:02:00	09:10:00	 1  2  3  4  8 
 34	09:03:00	09:11:00	 1  2  3  6 10 
 35	09:11:00	09:19:00	 5  6  7 
 36	09:12:00	09:18:00	 3  5  7 10 
 37	09:15:00	09:19:00	 1  3  5  8 10 
 38	09:15:00	09:23:00	 2  8 10 
 39	09:14:00	09:24:00	 2  3  4  6  7 
 40	09:34:00	09:36:00	 1  2  3  5  8 
 41	09:31:00	09:41:00	 2  3  4  7 
 42	09:39:00	09:47:00	 4  8  9 10 
 43	09:41:00	09:47:00	 1  7  8 10 
 44	10:04:00	10:14:00	 1  2  5  8 
 45	10:20:00	10:28:00	 1 10 
 46	10:23:00	10:27:00	 3  4  5  6  7 
 47	10:25:00	10:29:00	 1  2  4  7  8 
 48	10:27:00	10:29:00	 3  8  9 
 49	10:28:00	10:30:00	 2  5  9 10 
 50	10:46:00	10:56:00	 6  7 10 
 51	10:53:00	10:59:00	 2  5  9 
 52	10:56:00	11:02:00	 1  2  5 10 
 53	11:09:00	11:11:00	 3  4  6  7 10 
 54	11:26:00	11:30:00	 3  6  8  9 
 55	11:28:00	11:34:00	 1  2  4  5  9 
 56	11:51:00	11:55:00	 1  2  3  4  5 
 57	11:55:00	11:57:00	 2  3  4  6  7 
 58	12:05:00	12:09:00	 4  7  8 
 59	12:07:00	12:09:00	 1  9 10 
 60	12:08:00	12:12:00	 1  5  8  9 
 61	12:31:00	12:35:00	 1  2  6  7  8 
 62	12:47:00	12:49:00	 1  5  6  7  8 
 63	12:58:00	13:04:00	 1  2  8  9 
 64	13:00:00	13:08:00	 1  2  5  6  8 
 65	13:21:00	13:25:00	 1  2  4  5  6 
 66	13:23:00	13:27:00	 4  5  8 10 
 67	13:27:00	13:31:00	 4  5  6  7  8 
 68	13:28:00	13:32:00	 2  5  8 
 69	13:30:00	13:36:00	 1  2  5  6  7 
 70	13:32:00	13:36:00	 1  5  9 
 71	13:36:00	13:38:00	 2  3  5  6  7 
 72	13:48:00	13:50:00	 3  4  6  8  9 
 73	13:56:00	14:00:00	 1  2  4  5  6 
 74	14:17:00	14:21:00	 1  2  3  5  7 
 75	14:29:00	14:31:00	 2  3  6  7  8 
 76	14:30:00	14:38:00	 1  2  5  6  7 
 77	14:53:00	15:03:00	 5  6  7  9 10 
 78	15:04:00	15:08:00	 2  6  7  8  9 
 79	15:24:00	15:28:00	 2  4  5  7 
 80	15:34:00	15:36:00	 3  4 10 
 81	15:55:00	16:03:00	 5  7  9 
 82	16:01:00	16:03:00	 1  2  4  5  7 
 83	16:05:00	16:11:00	 1  4  7 
 84	16:20:00	16:28:00	 1  2  3  6  7 
 85	16:23:00	16:31:00	 1  5  6  7  9 
 86	16:38:00	16:48:00	 1  3  4  5  7 
 87	17:05:00	17:11:00	 2  4  5  6  8 
 88	17:16:00	17:26:00	 2  3  4  7  9 
 89	17:30:00	17:38:00	 3  5 10 
 90	17:30:00	17:40:00	 1  2  5  7 
 91	17:41:00	17:47:00	 2  3  5  6  7 
 92	18:03:00	18:05:00	 2  3  5  6  7 
 93	17:59:00	18:09:00	 1  3  6  7  8 
 94	18:23:00	18:27:00	 2  4  7  9 
 95	18:44:00	18:48:00	 1  4  7  8 10 
 96	19:00:00	19:08:00	 2  3  4 
 97	19:04:00	19:10:00	 5  7 10 
 98	19:09:00	19:11:00	 1  4  6  7  8 
 99	19:25:00	19:33:00	 1  9 
100	19:46:00	19:54:00	 1  3  8 

