150 15
  1	05:00:00	21:00:00
  2	05:00:00	21:00:00
  3	05:00:00	21:00:00
  4	05:00:00	21:00:00
  5	05:00:00	21:00:00
  6	05:00:00	21:00:00
  7	05:00:00	21:00:00
  8	05:00:00	21:00:00
  9	05:00:00	21:00:00
 10	05:00:00	21:00:00
 11	05:00:00	21:00:00
 12	05:00:00	21:00:00
 13	05:00:00	21:00:00
 14	05:00:00	21:00:00
 15	05:00:00	21:00:00
  1	05:01:00	05:09:00	 2  3  4  5  8  9 11 13 
  2	05:04:00	05:08:00	 3  5  6 10 11 12 13 
  3	05:07:00	05:13:00	 1  3  5  6  7  8 10 13 
  4	05:11:00	05:15:00	 1  4  8  9 10 12 14 
  5	05:23:00	05:33:00	 1  3  5  8 10 
  6	05:28:00	05:38:00	 5 10 11 15 
  7	05:54:00	06:00:00	 4  7  8  9 11 13 14 15 
  8	06:18:00	06:20:00	 1  2  3  5  6  8 10 11 
  9	06:20:00	06:24:00	 2  3  4  8 10 12 14 
 10	06:38:00	06:48:00	 4  6 12 14 15 
 11	07:00:00	07:04:00	 2  3  5  6  8 10 11 12 
 12	07:19:00	07:27:00	 1  2  4  7  8  9 
 13	07:24:00	07:30:00	 1  4  6  8 10 13 14 
 14	07:28:00	07:34:00	 3  4  5  8 11 12 
 15	07:31:00	07:33:00	 1  2  3  6 12 
 16	07:33:00	07:39:00	 6  7 10 11 12 13 15 
 17	07:32:00	07:40:00	 1  2  3  5  6  7 10 
 18	07:34:00	07:40:00	 2  3  5  7 11 12 
 19	07:40:00	07:48:00	 2  3  4  5  6  8  9 11 
 20	07:48:00	07:50:00	 6  8 15 
 21	08:14:00	08:16:00	 3  8  9 10 13 
 22	08:35:00	08:39:00	 2  5  7  8  9 10 12 13 
 23	08:33:00	08:43:00	 6 10 
 24	08:37:00	08:45:00	 1  2  3  7 10 14 15 
 25	08:40:00	08:48:00	 1  2  3  6  9 11 12 
 26	08:54:00	09:02:00	 1  7  8  9 10 13 15 
 27	09:13:00	09:17:00	 1  3  5  6  8  9 11 12 
 28	09:26:00	09:28:00	 2  3  4  5  8  9 11 15 
 29	09:28:00	09:32:00	 3  4  5  6  7  9 11 12 
 30	09:28:00	09:32:00	 2  5 
 31	09:48:00	09:54:00	 2  4  5  6  7 11 15 
 32	09:50:00	10:00:00	 2  3  5  6 13 
 33	10:02:00	10:12:00	 1  3  4  5  7  8  9 10 
 34	10:07:00	10:17:00	 1  2  4  7 10 11 12 13 
 35	10:07:00	10:17:00	 1  2  3  4  7  8  9 14 
 36	10:25:00	10:31:00	 2  3  4  5  6  7 12 13 
 37	10:26:00	10:32:00	 1  2  8 12 13 14 
 38	10:26:00	10:34:00	 1  2  3  5  6  7 12 13 
 39	10:49:00	10:51:00	 2  3  4  6  8 10 14 
 40	11:11:00	11:19:00	 2  3  6  7  8 10 12 
 41	11:33:00	11:39:00	 1  2  3  4  6  7 10 12 
 42	11:53:00	11:55:00	 2  3  4  5  6  7  9 10 
