200 20
  1	05:00:00	21:00:00
  2	05:00:00	21:00:00
  3	05:00:00	21:00:00
  4	05:00:00	21:00:00
  5	05:00:00	21:00:00
  6	05:00:00	21:00:00
  7	05:00:00	21:00:00
  8	05:00:00	21:00:00
  9	05:00:00	21:00:00
 10	05:00:00	21:00:00
 11	05:00:00	21:00:00
 12	05:00:00	21:00:00
 13	05:00:00	21:00:00
 14	05:00:00	21:00:00
 15	05:00:00	21:00:00
 16	05:00:00	21:00:00
 17	05:00:00	21:00:00
 18	05:00:00	21:00:00
 19	05:00:00	21:00:00
 20	05:00:00	21:00:00
  1	05:00:00	05:10:00	 1  2  3  7  8 10 11 12 15 16 
  2	05:01:00	05:09:00	 2  3  6  8  9 10 12 13 14 16 
  3	05:05:00	05:09:00	 1  3  5  6  7 10 12 13 14 15 
  4	05:08:00	05:14:00	 2  3  4  5  8 10 11 13 15 17 
  5	05:11:00	05:19:00	 1  3  4  7  8 11 13 14 16 17 
  6	05:12:00	05:22:00	 2  4  5  6 12 14 18 19 
  7	05:18:00	05:20:00	 1  3  5  6  8  9 10 12 13 14 
  8	05:22:00	05:30:00	 3  4  5  7  9 13 19 20 
  9	05:31:00	05:37:00	 2  3  4  5  8  9 10 13 16 18 
 10	05:47:00	05:53:00	 1  2  6  7  8  9 10 14 18 20 
 11	06:09:00	06:11:00	 2  3  8  9 11 13 14 15 18 20 
 12	06:17:00	06:25:00	 2  5  6  8 10 11 13 14 15 17 
 13	06:34:00	06:40:00	 1  2  4  6  8  9 10 11 14 15 
 14	06:46:00	06:50:00	 4  8  9 12 15 16 18 19 20 
 15	06:47:00	06:51:00	 6  7 10 12 13 15 16 17 19 
 16	06:47:00	06:53:00	 1  2  3  6  8  9 10 11 12 13 
 17	06:52:00	06:54:00	 3  5  7  9 10 13 14 17 18 20 
 18	06:49:00	06:59:00	 1  3  4  5  7 10 11 13 14 16 
 19	07:12:00	07:20:00	 1  2  3  4  8 10 12 13 14 17 
 20	07:13:00	07:21:00	 1  2  5 10 11 12 
