229 24
1	05:30:00	20:30:00
2	05:30:00	20:30:00
3	05:30:00	20:30:00
4	05:30:00	20:30:00
5	05:30:00	20:30:00
6	05:30:00	20:30:00
7	05:30:00	20:30:00
8	05:30:00	20:30:00
9	05:30:00	20:30:00
10	05:30:00	20:30:00
11	05:30:00	20:30:00
12	05:30:00	20:30:00
13	05:30:00	20:30:00
14	05:30:00	20:30:00
15	05:30:00	20:30:00
16	05:30:00	20:30:00
17	05:30:00	20:30:00
33	06:15:00	06:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
39	18:20:00	18:40:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
44	17:05:00	17:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
40	13:21:00	13:33:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
49	05:35:00	05:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
42	17:55:00	18:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
35	16:15:00	16:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
34	13:01:00	13:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
41	13:55:00	14:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
50	06:20:00	06:40:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
45	17:25:00	17:40:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
53	07:50:00	08:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
52	07:20:00	07:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
43	19:35:00	19:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
46	16:35:00	16:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
76	08:15:00	08:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
68	16:15:00	16:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
55	10:15:00	10:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
61	14:15:00	14:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
74	19:15:00	19:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
82	15:15:00	15:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
59	13:11:00	13:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
103	14:05:00	14:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
70	17:15:00	17:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
93	06:00:00	06:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
69	16:45:00	17:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
100	06:45:00	07:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
102	13:11:00	13:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
85	18:15:00	18:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
96	13:10:00	13:24:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
87	11:15:00	11:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
105	17:50:00	18:10:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
91	07:05:00	07:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
1405	18:45:00	19:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
155	13:38:00	13:50:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
94	06:45:00	07:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17  
