229 24
1	05:30:00	20:30:00
2	05:30:00	20:30:00
3	05:30:00	20:30:00
4	05:30:00	20:30:00
5	05:30:00	20:30:00
6	05:30:00	20:30:00
7	05:30:00	20:30:00
8	05:30:00	20:30:00
9	05:30:00	20:30:00
10	05:30:00	20:30:00
11	05:30:00	20:30:00
12	05:30:00	20:30:00
13	05:30:00	20:30:00
14	05:30:00	20:30:00
15	05:30:00	20:30:00
16	05:30:00	20:30:00
17	05:30:00	20:30:00
18	05:30:00	20:30:00
19	05:30:00	20:30:00
33	06:15:00	06:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
39	18:20:00	18:40:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
44	17:05:00	17:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
40	13:21:00	13:33:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
49	05:35:00	05:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
42	17:55:00	18:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
35	16:15:00	16:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
34	13:01:00	13:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
41	13:55:00	14:15:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
50	06:20:00	06:40:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
45	17:25:00	17:40:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
53	07:50:00	08:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
52	07:20:00	07:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
43	19:35:00	19:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
46	16:35:00	16:55:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
76	08:15:00	08:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
68	16:15:00	16:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
55	10:15:00	10:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
61	14:15:00	14:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
74	19:15:00	19:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
82	15:15:00	15:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
59	13:11:00	13:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
103	14:05:00	14:25:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
70	17:15:00	17:35:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
93	06:00:00	06:20:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
69	16:45:00	17:05:00	1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 
